GEOID,county,state,state_abbr,ALAND,year,scenario,scenario_label,data_type,observed_temp_2025_f,observed_temp_2025_c,projected_temp_c,temp_change_from_2025_c,rank_within_scenario
06077,San Joaquin,California,CA,3605878834,2036,ssp126,Low emissions (SSP126),projected,63.083333333333336,17.26851851851852,15.344390869140625,-1.924127649377894,1949
06077,San Joaquin,California,CA,3605878834,2036,ssp245,Medium emissions (SSP245),projected,63.083333333333336,17.26851851851852,15.265113830566406,-2.003404687952113,2492
06077,San Joaquin,California,CA,3605878834,2036,ssp585,High emissions (SSP585),projected,63.083333333333336,17.26851851851852,14.482258796691895,-2.7862597218266245,2841
06079,San Luis Obispo,California,CA,8549140866,2036,ssp126,Low emissions (SSP126),projected,60.824999999999996,16.013888888888886,16.338136672973633,0.3242477840847471,220
06079,San Luis Obispo,California,CA,8549140866,2036,ssp245,Medium emissions (SSP245),projected,60.824999999999996,16.013888888888886,16.578771591186523,0.5648827022976377,501
06079,San Luis Obispo,California,CA,8549140866,2036,ssp585,High emissions (SSP585),projected,60.824999999999996,16.013888888888886,15.440762519836426,-0.57312636905246,1003
06081,San Mateo,California,CA,1161921071,2036,ssp126,Low emissions (SSP126),projected,57.48333333333333,14.157407407407403,15.344390869140625,1.186983461733222,77
06081,San Mateo,California,CA,1161921071,2036,ssp245,Medium emissions (SSP245),projected,57.48333333333333,14.157407407407403,15.265113830566406,1.1077064231590033,279
06081,San Mateo,California,CA,1161921071,2036,ssp585,High emissions (SSP585),projected,57.48333333333333,14.157407407407403,14.482258796691895,0.32485138928449153,333
06083,Santa Barbara,California,CA,7080874935,2036,ssp126,Low emissions (SSP126),projected,59.76666666666668,15.425925925925933,16.58112335205078,1.1551974261248485,82
06083,Santa Barbara,California,CA,7080874935,2036,ssp245,Medium emissions (SSP245),projected,59.76666666666668,15.425925925925933,16.952486038208008,1.526560112282075,148
06083,Santa Barbara,California,CA,7080874935,2036,ssp585,High emissions (SSP585),projected,59.76666666666668,15.425925925925933,16.044111251831055,0.618185325905122,194
